code;name;is_active;description
1;Новий об'єкт;true;Активний запис
2;Закритий об'єкт;false;Неактивний запис
3;Був перейменований;false;Неактивний запис
4;Об'єкт ввійшов в склад іншого об'єкту;false;Є в довіднику, в даних відсутні
5;Об'єкт вийшов зі складу іншого об'єкту;false;Є в довіднику, в даних відсутні
6;Об'єкт був перепідпорядкований;true;Активний запис
7;Змінив рівень ієрархії;false;Є в довіднику, в даних відсутні
8;Об'єкт є синонімом;true;Активний запис
9;Об'єкт об'єднаний;false;Неактивний запис
10;Об'єкт розділений;true;Активний запис
11;Стара назва об'єкту;false;Неактивний запис
12;Об'єкт вилучений;false;Неактивний запис
