code;is_global;full_name_ukr;full_name_eng;customs_house;central_executive_authority_id;privilege_category_type
V1_1;true;Керування суб'єктом господарювання;Legal entity management;;null;LEGAL_ENTITY
V1_2;true;Керування групами прав доступу суб'єкта господарювання;Legal entity permission group management;;null;LEGAL_ENTITY
V1_3;true;Керування представниками суб'єкта господарювання;Legal entity representative management;;null;LEGAL_ENTITY
V1_4;true;Адміністрування митного рахунку;Customs account administration;;null;LEGAL_ENTITY
V1_5;true;Робота з заявами щодо отримання дозволу на провадження митної брокерської діяльності;;;null;LEGAL_ENTITY
V1_6;true;Робота з заявами щодо переоформлення дозволу на провадження митної брокерської діяльності;;;null;LEGAL_ENTITY
V1_7;true;Робота з заявами щодо зупинення дозволу на провадження митної брокерської діяльності;;;null;LEGAL_ENTITY
V1_8;true;Робота з заявами щодо анулювання дозволу на провадження митної брокерської діяльності;;;null;LEGAL_ENTITY
V1_9;true;Робота з заявами щодо отримання дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_10;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_11;true;Робота з заявами щодо зупинення дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_12;true;Робота з заявами щодо анулювання дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_13;true;Робота з фінансовим модулем;;;null;LEGAL_ENTITY
V1_14;true;Робота з заявами на отримання дозволу на ввезення видавничої продукції. Держкомтелерадіо;;;null;LEGAL_ENTITY
V1_15;true;Робота з заявами на внесення ОПІВ у реєстр;;;null;LEGAL_ENTITY
V1_16;true;Робота з заявами на внесення змін щодо ОПІВ у реєстрі;;;null;LEGAL_ENTITY
V1_17;true;Робота з заявами на продовження терміну реєстрації ОПІВ у реєстрі;;;null;LEGAL_ENTITY
V1_18;true;Робота з заявами на виключення ОПІВ з реєстру;;;null;LEGAL_ENTITY
V1_19;true;Робота з заявами-уточнення до надіcланої раніше заяви на внесення об'єктів у реєстр ОПІВ;;;null;LEGAL_ENTITY
V1_20;true;Робота з заявами щодо отримання дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_21;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_22;true;Робота з заявами щодо зупинення дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_23;true;Робота з заявами щодо анулювання дозволу на відкриття та експлуатацію митного складу;;;null;LEGAL_ENTITY
V1_24;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;LEGAL_ENTITY
V1_25;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;LEGAL_ENTITY
V1_26;true;Робота з заявами щодо зупинення дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;LEGAL_ENTITY
V1_27;true;Робота з заявами щодо анулювання дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;LEGAL_ENTITY
V1_28;true;Робота з реєстром ОПІВ;;;null;LEGAL_ENTITY
V1_29;true;Робота з отриманими дозвільними документами;;;null;LEGAL_ENTITY
V1_30;true;Заява на одержання дозволу перевезень радіоактивних матеріалів;;;null;LEGAL_ENTITY

V2_1;true;Взаємодія зі співробітниками;;;null;CEA
V2_2;true;Робота з отриманими заявами на одержання дозвільних документів Держкомтелерадіо;;;null;CEA
V2_3;true;Робота з отриманими заявами на одержання дозвільних документів Держядеррегулювання;;;null;CEA
V2_4;true;Робота з дозвільними документами Деркомтелерадіо;;;null;CEA
V2_5;true;Робота з дозвільними документами Держядеррегулювання;;;null;CEA

V3_1;true;Взаємодія зі співробітниками;;;null;DMSU
V3_2;true;Керування реєстром брокерів;;;null;DMSU
V3_3;true;Робота з заявами щодо отримання дозволу на провадження митної брокерської діяльності;;;null;DMSU
V3_4;true;Робота з заявами щодо переоформлення дозволу на провадження митної брокерської діяльності;;;null;DMSU
V3_5;true;Робота з заявами щодо зупинення дії дозволу на провадження митної брокерської діяльності;;;null;DMSU
V3_6;true;Робота з заявами щодо анулювання дії дозволу на провадження митної брокерської діяльності;;;null;DMSU
V3_7;true;Керування реєстром митних складів;;;null;DMSU
V3_8;true;Робота з заявами щодо отримання дозволу на відкриття та експлуатацію митного складу;;;null;DMSU
V3_9;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію митного складу;;;null;DMSU
V3_10;true;Робота з заявами щодо зупинення дії дозволу на відкриття та експлуатацію митного складу;;;null;DMSU
V3_11;true;Робота з заявами щодо анулювання дії дозволу на відкриття та експлуатацію митного складу;;;null;DMSU
V3_12;true;Керування реєстром складів тимчасового зберігання;;;null;DMSU
V3_13;true;Робота з заявами щодо отримання дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;DMSU
V3_14;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;DMSU
V3_15;true;Робота з заявами щодо зупинення дії дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;DMSU
V3_16;true;Робота з заявами щодо анулювання дії дозволу на відкриття та експлуатацію складу тимчасового зберігання;;;null;DMSU
V3_17;true;Робота з заявами щодо отримання дозволу на відкриття та експлуатацію вільної митної зони;;;null;DMSU
V3_18;true;Робота з заявами щодо переоформлення дозволу на відкриття та експлуатацію вільної митної зони;;;null;DMSU
V3_19;true;Робота з заявами щодо зупинення дії дозволу на відкриття та експлуатацію вільної митної зони;;;null;DMSU
V3_20;true;Робота з заявами щодо анулювання дії дозволу на відкриття та експлуатацію вільної митної зони;;;null;DMSU
V3_21;true;Робота з заявами про сприяння захисту належних правовласнику майнових прав на об’єкт права інтелектуальної власності (ОПІВ);;;null;DMSU
V3_22;true;Робота з заявами на отримання статусу АЕО;;;null;DMSU
V3_23;true;Керування реєстром ІПР;;;null;DMSU
V3_24;true;Керування реєстром АЕО;;;null;DMSU
